SENSACIONAL VILABARCA RIGS,,,,LINKS,,,RIG,,,CONCEPT,,,,MODEL SHEET,EXTRAS,,
EPS,NOME,PERSONAGEM,ID,LINK RIG,SYNC SKETCH,LINKS CONCEPT,RESPONSÁVEL,STATUS RIG,ENTREGA,RESPONSÁVEL CONCEPT,RESPONSÁVEL VETORIZAÇÃO,STATUS CONCEPT,ENTREGA,MODEL SHEET,COMENTÁRIOS,REVISÕES CONCEPT,REVISÕES RIG
103,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
103,CURUCA,,SVB_RIG_CURUCA,,,,,NÃO INICIADO,,OTONIEL,RAFAEL,EM PRODUÇÃO,,,,,20/05/2025
103,MURIEL,,SVB_RIG_MURIEL,,,,,NÃO INICIADO,,OTONIEL,RAFAEL,EM PRODUÇÃO,,,,,
103,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
103,XIMONE,,SVB_RIG_XIMONE_RIO,SVB_RIG_XIMONE.tpl.zip,,SVB_PER_XIMONE.png SVB_PER_XIMONE.zip,JACKSON,CONCLUÍDO,29/07/2025,BRUNO,,CONCLUÍDO,27/06/2025,,,,
103,,,SVB_RIG_ALUNOS_FIGURANTES,,,,,,,,,,,,,,
103,,,SVB_RIG_MACACO_PREGO,,,,,,,BRUNO,,,,,,,
103,,,SVB_RIG_IMBIRI_TATA,,,,,,,,,,,,"amarelinho, mais
normal, mas ainda imponente.",,
103,,,SVB_RIG_IMBIRI_TATAvisagento,,,,,,,,,,,,"Imbiri
Tatá usa seu fogo de CHAMA AZUL misurenta",,
104,Alma-Penada A,,SVB_RIG_ALMA-PENADA-a,SVB_RIG_ALMA_PENADA-a.tpl.zip,,,JACKSON,CONCLUÍDO,09/07/2025,OTONIEL,,CONCLUÍDO,24/05/2025,,,,
104,Alma-Penada B,,SVB_RIG_ALMA-PENADA-b,SVB_RIG_ALMA_PENADA-b.tpl.zip,,,JACKSON,CONCLUÍDO,09/07/2025,OTONIEL,,CONCLUÍDO,,,,,
104,Alma-Penada C,,SVB_RIG_ALMA-PENADA-c,SVB_RIG_ALMA_PENADA-c.tpl.zip,,,JACKSON,CONCLUÍDO,09/07/2025,OTONIEL,,CONCLUÍDO,,,,,
104,Alma-Penada D,,SVB_RIG_ALMA-PENADA-d,SVB_RIG_ALMA_PENADA-d.tpl.zip,,,JACKSON,CONCLUÍDO,09/07/2025,OTONIEL,,CONCLUÍDO,,,,,
104,Alma-Penada E,,SVB_RIG_ALMA-PENADA-e,SVB_RIG_ALMA_PENADA-e.tpl.zip,,,JACKSON,CONCLUÍDO,09/07/2025,OTONIEL,,CONCLUÍDO,,,,,
104,ANA,,SVB_PER_CRIANCAS_ESCOLA,https://drive.google.com/file/d/19f14_6VyGKonaZHWRVWWlZmbcn72D4qh/view?usp=drive_link,,SVB_PER_CRIANCAS_ESCOLA.zip SVB_PER_CRIANCAS_ESCOLA_ANA.png,TONTON,CONCLUÍDO,,BRUNO,,CONCLUÍDO,,,,,
104,BIA,,SVB_PER_CRIANCAS_ESCOLA,https://drive.google.com/file/d/1qO9wMDCPSFVufglXJ1htvDueDaymuVYT/view?usp=drive_link,,SVB_PER_CRIANCAS_ESCOLA.zip SVB_PER_CRIANCAS_ESCOLA_BIA.png,TONTON,CONCLUÍDO,,BRUNO,,CONCLUÍDO,,,,,
104,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
104,CELSO,,SVB_PER_CRIANCAS_ESCOLA,https://drive.google.com/file/d/1r2xOWz3Ow5V2Szwiqg5yj5Gt4mlq8Cy4/view?usp=drive_link,,SVB_PER_CRIANCAS_ESCOLA.zip SVB_PER_CRIANCAS_ESCOLA_CELSO.png,TONTON,CONCLUÍDO,,BRUNO,,CONCLUÍDO,,,,,
104,DONA GÊ,,SVB_RIG_VELHASCHA,SVB_RIG_VELHASCHA.tpl.zip,,SVB_PER_VELHASCHA.zip SVB_PER_VELHASCHA.png,JACKSON,CONCLUÍDO,15/08/2025,BRUNO,,CONCLUÍDO,04/08/2025,,mãe do genis em rigg :3,,
104,FERNANDO,,SVB_PER_CRIANCAS_ESCOLA,https://drive.google.com/file/d/15AdFuzcPnRdYD6SkF2e-_QFWgqwwN8JT/view?usp=drive_link,,SVB_PER_CRIANCAS_ESCOLA.zip SVB_PER_CRIANCAS_ESCOLA_FERNANDO.png,TONTON,CONCLUÍDO,,BRUNO,,CONCLUÍDO,,,,,
104,FIGURANTES CASA CHÁ 01,,SVB_PER_FIGCHA_01,,,,,,,MARIO,,PENDENTE DE REVISÃO,,,,,
104,FIGURANTES CASA CHÁ 02,,SVB_PER_FIGCHA_02,,,,,,,MARIO,,PENDENTE DE REVISÃO,,,,,
104,FIGURANTES CASA CHÁ 03,,SVB_PER_FIGCHA_03,,,,,,,MARIO,,PENDENTE DE REVISÃO,,,,,
104,FIGURANTES ESCOLA 01,,SVB_PER_FIGESC_01,,,,,,,BRUNO,,PENDENTE DE REVISÃO,,,,,
104,FIGURANTES ESCOLA 02,,SVB_PER_FIGESC_02,,,,,,,MARIO,,PENDENTE DE REVISÃO,,,,,
104,FIGURANTES ESCOLA 03,,SVB_PER_FIGESC_03,,,,,,,LISA,,EM PRODUÇÃO,,,,,
